datetime,SGI,DNI,SDI,GHI,GDI
2019-11-25 04:00:00,17.77777777777778,77.22222222222223,8.333333333333334,17.77777777777778,8.333333333333334
2019-11-25 05:00:00,78.8888888888889,63.05555555555556,64.72222222222223,78.8888888888889,64.72222222222223
2019-11-25 06:00:00,279.1666666666667,115.0,225.83333333333331,279.1666666666667,225.83333333333331
2019-11-25 07:00:00,327.77777777777777,90.0,271.1111111111111,327.77777777777777,271.1111111111111
2019-11-25 08:00:00,333.6111111111111,147.22222222222223,215.0,333.6111111111111,215.0
2019-11-25 09:00:00,691.1111111111111,363.3333333333333,368.8888888888889,691.1111111111111,368.8888888888889
2019-11-25 10:00:00,372.22222222222223,119.16666666666669,257.22222222222223,372.22222222222223,257.22222222222223
2019-11-25 11:00:00,375.0,82.5,294.1666666666667,375.0,294.1666666666667
2019-11-25 12:00:00,178.33333333333334,108.88888888888889,76.66666666666667,178.33333333333334,76.66666666666667
2019-11-25 13:00:00,132.7777777777778,111.11111111111111,39.16666666666666,132.7777777777778,39.16666666666666
2019-11-25 14:00:00,147.22222222222223,106.94444444444444,71.66666666666667,147.22222222222223,71.66666666666667
2019-11-25 15:00:00,167.5,81.38888888888889,124.72222222222224,167.5,124.72222222222224
2019-11-25 16:00:00,149.44444444444446,137.22222222222223,102.22222222222224,149.44444444444446,102.22222222222224
2019-11-25 17:00:00,64.72222222222223,140.0,37.77777777777778,64.72222222222223,37.77777777777778
2019-11-25 18:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-25 19:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-25 20:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-25 21:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-25 22:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-25 23:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-26 00:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-26 01:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-26 02:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-26 03:00:00,0.0,0.0,0.0,0.0,0.0
